dt,acc_x,acc_y,gyr_x,gyr_y,r_imu,p_imu,y_imu,r_cal,p_cal,y_cal,ax_n_imu,ay_n_imu,ax_n_cal,ay_n_cal,ax_n_cal_kalman,dax_n_cal_kalman,dax_n_imu,dax_n_cal
0,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,0,-0,0,-0.000286825,0.000460597,0.0234992,-0.0029374,0.0117795,0.0117795,0.000286825,0.0234992
0.008,-0.0234992,0.00195827,0,-0,-0.02,-0.14,0,-0.000461026,-0.00553231,0,-0.000286825,0.00143973,0.0225593,-0.00187994,0.0154044,0.00362491,0,0.000939939
0.015,-0.0234992,0.00195827,0,-0,-0.02,-0.14,0,-0.00129087,-0.0154905,0,-0.000286825,0.00143973,0.0208674,-0.00173895,0.0167968,0.00139236,0,0.00169189
0.015,-0.0234992,0.00195827,0,-0,-0.02,-0.14,0,-0.00205848,-0.0247018,0,-0.000286825,0.00143973,0.0193024,-0.00160853,0.0173162,0.000519412,0,0.001565
0.016,-0.0234992,0.00195827,0,-0,-0.02,-0.14,0,-0.00281586,-0.0337903,0,-0.000286825,0.00143973,0.0177582,-0.00147985,0.0173964,8.02148e-05,0,0.00154414
0.015,-0.0234992,0.00195827,0,-0,-0.02,-0.14,0,-0.00346909,-0.0416291,0,-0.000286825,0.00143973,0.0164264,-0.00136887,0.0172513,0.000145128,0,0.00133182
0.016,-0.0234992,0.0029374,-0.01,-0,-0.02,-0.14,0,-0.00473465,-0.0493635,0,-0.000286825,0.000460597,0.0151124,-0.00213299,0.0169615,0.000289755,0,0.00131407
0.016,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.00573896,-0.056479,0,-0.000286825,0.000460597,0.0139034,-0.00196235,0.0165821,0.000379412,0,0.00120894
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.00660518,-0.0626163,0,-0.000286825,0.000460597,0.0128607,-0.00181518,0.0161532,0.000428924,0,0.00104272
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.00740643,-0.0682932,0,-0.000286825,0.000460597,0.0118962,-0.00167905,0.0156915,0.000461638,0,0.000964509
0.015,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.00814759,-0.0735443,0,-0.000286825,0.000460597,0.011004,-0.00155313,0.015208,0.000483495,0,0.000892173
0.016,-0.0234992,0.0029374,0,-0,-0.02,-0.14,0,-0.00887887,-0.0787255,0,-0.000286825,0.000460597,0.0101237,-0.00142888,0.0147046,0.000503449,0,0.000880277
0.016,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.00955165,-0.0830311,0,-0.00126596,0.000460597,0.00841308,-0.00131458,0.0141028,0.000601767,0.000979131,0.00171066
0.015,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0101319,-0.0867447,0,-0.00126596,0.000460597,0.00778214,-0.00121599,0.0135133,0.000589573,0,0.000630943
0.015,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0106687,-0.0901798,0,-0.00126596,0.000460597,0.00719852,-0.00112479,0.0129353,0.000577935,0,0.000583624
0.016,-0.0225201,0.0029374,0,-0,-0.02,-0.14,0,-0.0111983,-0.0935691,0,-0.00126596,0.000460597,0.00662267,-0.00103482,0.0123655,0.000569776,0,0.000575845
