行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移
0,0.0002713,0,0,1.2161e-07
0,0.000216668,0,0,2.33361e-07
0,3.83796e-05,0,0,3.40183e-07
0,0.000145231,0,0,4.64735e-07
0,0.000227431,0,0,4.81256e-07
0,3.76937e-05,0,0,5.05354e-07
0,0.000200349,0,0,4.26645e-07
0,0.000178154,0,0,3.45654e-07
0,0.000256034,0,0,2.50491e-07
0,0.00012683,0,0,1.47124e-07
0,0.000132014,0,0,1.63645e-07
0,0.000188379,0,0,1.80166e-07
0,0.000256595,0,0,1.96687e-07
0,0,0,0,2.18498e-07
0,3.95884e-05,0,0,2.45916e-07
0,0.000254955,0,0,2.74945e-07
0,0.000122474,0,0,3.02363e-07
0,0,0,0,3.26462e-07
0,4.05815e-05,0,0,3.45677e-07
0,0,0,0,3.57635e-07
0,5.02984e-05,0,0.000473128,3.76851e-07
0,0.000275102,0,0.000473128,3.96066e-07
0,0.000194241,0,0.000473128,4.17883e-07
0,0.000209729,0,0.000675095,4.46912e-07
0,0.000164278,0,0.000675095,4.84197e-07
0,0,0,0.000675095,5.0519e-07
0,0.000302775,0,0.000675095,5.2436e-07
0,0.000219906,0,0.000938969,5.4617e-07
0,0.000194235,0,0.000938969,5.67981e-07
0,0.000187299,0,0.000938969,5.87151e-07
0,6.35811e-05,0,0.000938969,6.1125e-07
0,0.000245734,0,0.000604496,6.33067e-07
0,3.00084e-05,0,0.000604496,6.63499e-07
0,0.000256959,0,0.000604496,6.85316e-07
0,4.92809e-05,0,0.000171123,7.10139e-07
0,0.000238618,0,0.000171123,7.27028e-07
0,0,0,0.000171123,7.48839e-07
0,0.000222557,0,0.000171123,7.68009e-07
0,0.000204243,0,0.000549511,6.77159e-07
0,2.65846e-05,0,0.000549511,5.8631e-07
0,0.000248904,0,0.000549511,5.00389e-07
0,0.000189261,0,0.000549511,4.14468e-07
0,0.000209331,0,0.000298363,3.16709e-07
0,0.000227567,0,0.000298363,2.2586e-07
0,3.10151e-05,0,0.000298363,1.22493e-07
0,0.000136987,0,0.000522585,1.41663e-07
0,0.000203475,0,0.000522585,1.60833e-07
0,0.000170232,0,0.000522585,1.80003e-07
0,0.000184111,0,0.000522585,2.10017e-07
0,0,0,0.000491065,2.31468e-07
0,0,0,0.000491065,2.55874e-07
0,0.000208465,0,0.000491065,1.67306e-07
0,0,0,0.000491065,6.65351e-08
0,0.000174156,0,0.00119918,-2.20331e-08
0,0.000274955,0,0.00119918,-1.12882e-07
0,0.000229212,0,0.00119918,-2.03732e-07
0,0.000206973,0,0.000802035,-3.07098e-07
0,0,0,0.000802035,-3.93019e-07
0,0.000195979,0,0.000802035,-4.90778e-07
0,0,0,0.000802035,-5.81627e-07
0,0.00029353,0,0.000699139,-6.72477e-07
0,0.000303629,0,0.000699139,-7.75843e-07
0,0.000101822,0,0.000699139,-8.66693e-07
0,0.000143793,0,0.000699139,-9.70059e-07
0,0,0,0.000288556,-1.06091e-06
0,2.54862e-05,0,0.000288556,-1.16428e-06
0,0.000284076,0,0.000288556,-1.26764e-06
0,0,0,0.000669393,-1.24583e-06
0,0,0,0.000669393,-1.22666e-06
0,0.000159684,0,0.000669393,-1.20485e-06
0,0.000199219,0,0.000669393,-1.18568e-06
0,6.39608e-05,0,0.000732296,-1.16651e-06
0,0.000160479,0,0.000732296,-1.1447e-06
0,0.000242686,0,0.000732296,-1.24807e-06
0,0.000207865,0,0.000732296,-1.33892e-06
0,0.000234823,0,0.000572829,-1.44228e-06
0,0.000208168,0,0.000572829,-1.53313e-06
0,0.00015091,0,0.000572829,-1.62398e-06
0,0.000124301,0,0.000572829,-1.72735e-06
0,0.000145449,0,0.00129901,-1.70554e-06
0,0.000257611,0,0.00129901,-1.68144e-06
0,0.000289249,0,0.00129901,-1.65734e-06
0,0.000145949,0,0.00129901,-1.63324e-06
0,0.000279115,0,0.000376137,-1.60323e-06
0,2.82824e-05,0,0.000376137,-1.58178e-06
0,0.000205427,0,0.000376137,-1.56033e-06
0,0.000145827,0,0.000146838,-1.53851e-06
0,0.000281458,0,0.000146838,-1.62444e-06
0,0.000122071,0,0.000146838,-1.72219e-06
0,3.5029e-05,0,0.000146838,-1.80811e-06
0,0.000108333,0,0.00073221,-1.89404e-06
0,0.000208944,0,0.00073221,-1.97996e-06
0,0.000228195,0,0.00073221,-2.06588e-06
0,0.000242817,0,0.000459315,-2.16364e-06
0,0.00028614,0,0.000459315,-2.2614e-06
0,0.000178285,0,0.000459315,-2.2373e-06
0,0.000273221,0,0.000459315,-2.21548e-06
0,0.000190332,0,0.00055256,-2.19066e-06
0,0.000241988,0,0.00055256,-2.16324e-06
0,2.72366e-05,0,0.00055256,-2.13914e-06
0,0.000192148,0,0.00055256,-2.11733e-06
0,0.000126645,0,0.00017812,-2.09816e-06
0,5.13098e-05,0,0.00017812,-2.20152e-06
0,0.000123453,0,0.00017812,-2.28745e-06
0,0.000170197,0,0.00017812,-2.37337e-06
0,0.000250369,0,0.000951795,-2.47113e-06
0,0.000279064,0,0.000951795,-2.55705e-06
0,4.27664e-05,0,0.000951795,-2.53295e-06
0,6.81796e-05,0,0.000582954,-2.50553e-06
0,0.000208993,0,0.000582954,-2.48408e-06
0,0,0,0.000582954,-2.46263e-06
0,0,0,0.000582954,-2.43822e-06
0,0.000214334,0,0.000287795,-2.41905e-06
0,0.000211927,0,0.000287795,-2.39724e-06
0,3.24685e-05,0,0.000287795,-2.37807e-06
0,0.000191027,0,0.000411717,-2.3589e-06
0,0,0,0.000411717,-2.33969e-06
0,0.000220768,0,0.000411717,-2.3228e-06
0,0.00029128,0,0.000411717,-2.30358e-06
0,0.000142298,0,0.00060345,-2.28669e-06
0,0.000267111,0,0.00060345,-2.26752e-06
0,0.000230531,0,0.00060345,-2.24342e-06
0,0,0,0.00060345,-2.21601e-06
0,0.000205828,0,0.000200251,-2.18859e-06
0,4.7583e-05,0,0.000200251,-2.16449e-06
0,0.000225947,0,0.000200251,-2.14039e-06
0,0.000256151,0,0.000542111,-2.22631e-06
0,0.000192729,0,0.000542111,-2.32407e-06
0,0,0,0.000542111,-2.41227e-06
0,0,0,0.000542111,-2.51263e-06
0,0.000264678,0,0.000890798,-2.59855e-06
0,0.000241408,0,0.000890798,-2.57113e-06
0,0,0,0.000890798,-2.54371e-06
0,0.00026122,0,0.000414204,-2.51629e-06
0,0.000230316,0,0.000414204,-2.49219e-06
0,6.8341e-05,0,0.000414204,-2.46477e-06
0,0,0,0.000414204,-2.44068e-06
0,0.000227163,0,0.000430248,-2.4143e-06
0,0,0,0.000430248,-2.38428e-06
0,0,0,0.000430248,-2.3579e-06
0,0.000178265,0,0.000430248,-2.32789e-06
0,0,0,0.000576705,-2.30644e-06
0,0.00025175,0,0.000576705,-2.28463e-06
0,0.000175376,0,0.000576705,-2.26546e-06
0,6.33336e-05,0,0.000897932,-2.24629e-06
0,4.59032e-05,0,0.000897932,-2.34965e-06
0,3.08335e-05,0,0.000897932,-2.33048e-06
0,0.000130649,0,0.000897932,-2.30867e-06
0,0.00011418,0,0.00103253,-2.2895e-06
0,0.000191198,0,0.00103253,-2.26769e-06
0,0.000219089,0,0.00103253,-2.24852e-06
0,0.000142545,0,0.00103253,-2.22935e-06
0,0.00022468,0,0.000714928,-2.20754e-06
0,0.000228603,0,0.000714928,-2.18344e-06
0,0.000102458,0,0.000714928,-2.15602e-06
0,0,0,0.00143953,-2.13193e-06
0,0.000234129,0,0.00143953,-2.10451e-06
0,0.000217224,0,0.00143953,-2.08041e-06
0,0.000225603,0,0.00143953,-2.05299e-06
0,0.000288443,0,0.000605821,-2.02889e-06
0,0,0,0.000605821,-2.00479e-06
0,0.000206271,0,0.000605821,-1.97738e-06
0,0.000220666,0,0.000605821,-2.08074e-06
0,0.000146952,0,4.43057e-05,-2.17159e-06
0,0.00013375,0,4.43057e-05,-2.27496e-06
0,0,0,4.43057e-05,-2.36581e-06
0,2.61618e-05,0,4.43057e-05,-2.46917e-06
0,0,0,0.000682103,-2.55774e-06
0,0.000244512,0,0.000682103,-2.64859e-06
0,0.000216752,0,0.000682103,-2.75196e-06
0,0.000263221,0,0.000863975,-2.84281e-06
0,0.000114751,0,0.000863975,-2.92873e-06
0,0.000105222,0,0.000863975,-3.02649e-06
0,3.59579e-05,0,0.000863975,-3.11241e-06
0,0.000272288,0,0.00101866,-3.21577e-06
0,3.25729e-05,0,0.00101866,-3.31914e-06
0,0.000111789,0,0.00101866,-3.40999e-06
0,0.000200482,0,0.00101866,-3.51336e-06
0,0.00022801,0,0.000651037,-3.61672e-06
0,0.000227953,0,0.000651037,-3.70264e-06
0,0.000217612,0,0.000651037,-3.8004e-06
0,0.000227748,0,0.00169369,-3.89816e-06
0,0.000222692,0,0.00169369,-3.99592e-06
0,0.000170258,0,0.00169369,-4.08677e-06
0,0.000227201,0,0.00169369,-4.19013e-06
0,0.000145843,0,0.000904399,-4.2935e-06
0,0.000250669,0,0.000904399,-4.38435e-06
0,0,0,0.000904399,-4.4752e-06
0,0.000246472,0,0.000904399,-4.56112e-06
0,3.4591e-05,0,0.000956759,-4.65888e-06
0,0.000199617,0,0.000956759,-4.63478e-06
0,0.000224722,0,0.000956759,-4.7207e-06
0,0.000113978,0,0.00076172,-4.80662e-06
0,0.000260539,0,0.00076172,-4.90438e-06
0,0.000222267,0,0.00076172,-5.00214e-06
0,2.46337e-05,0,0.00076172,-5.08806e-06
0,4.85282e-05,0,0.000700077,-5.18582e-06
0,0.000166312,0,0.000700077,-5.28358e-06
0,7.87837e-05,0,0.000700077,-5.3695e-06
0,4.24237e-05,0,0.000700077,-5.46726e-06
0,0.000256403,0,0.000473803,-5.55318e-06
0,2.23906e-05,0,0.000473803,-5.53401e-06
0,0.000219159,0,0.000473803,-5.51484e-06
0,0.000256264,0,0.000473803,-5.49303e-06
0,0.000216264,0,0.000418292,-5.46561e-06
0,0,0,0.000418292,-5.55153e-06
