roll,pitch,yaw,axb,ayb,axn,ayn
0.006,-0.00744888,-0.00808141,5.25326e-07,-0.0450402,0.0607063,0.0436477,-0.0594228
0.016,-0.0270363,-0.0280937,7.98819e-06,-0.0430819,0.0616854,0.0382454,-0.057031
0.015,-0.0434777,-0.0461881,-0.000127171,-0.0450402,0.0607063,0.0370806,-0.053214
0.016,-0.0592592,-0.0637569,-0.000264585,-0.044061,0.0597272,0.0330792,-0.0495204
0.016,-0.0728604,-0.0797798,-0.00055695,-0.0430819,0.0577689,0.0293359,-0.0452158
0.015,-0.0831777,-0.092338,-0.000678892,-0.0391654,0.0538524,0.0232493,-0.039516
0.015,-0.0918806,-0.10311,-0.000649542,-0.0372071,0.0518941,0.0194432,-0.0360655
0.015,-0.0970974,-0.111243,-0.000473402,-0.0323114,0.0450402,0.0131466,-0.0283127
0.015,-0.100509,-0.119053,-0.000298898,-0.0332906,0.0421028,0.0127966,-0.0248013
0.016,-0.106139,-0.127047,-0.000267045,-0.0342697,0.0469984,0.0123887,-0.0287188
0.015,-0.111425,-0.133645,-0.000235832,-0.0342697,0.0479776,0.011257,-0.0287913
0.015,-0.118885,-0.140293,-0.000349451,-0.036228,0.0528732,0.0120584,-0.0323922
0.016,-0.127318,-0.146695,-0.000628255,-0.036228,0.0548315,0.0109579,-0.0329
0.015,-0.13304,-0.152195,-0.000894993,-0.0372071,0.050915,0.0109946,-0.0280024
0.015,-0.139347,-0.157142,-0.00115968,-0.0372071,0.0528732,0.0101559,-0.0288864
0.015,-0.142915,-0.16173,-0.00128046,-0.0372071,0.0479776,0.00938835,-0.023396
0.016,-0.146121,-0.167786,-0.00108877,-0.0401445,0.0479776,0.0112899,-0.0228496
0.015,-0.148148,-0.173877,-0.00105885,-0.0411236,0.0469984,0.0112067,-0.0215091
0.016,-0.148912,-0.179267,-0.00102959,-0.0401445,0.0450402,0.00929106,-0.0194118
0.015,-0.149269,-0.184191,-0.00100195,-0.0411236,0.0450402,0.00941969,-0.0193478
0.015,-0.149445,-0.188315,-0.000973681,-0.0401445,0.0450402,0.00772428,-0.0193124
0.016,-0.149623,-0.191773,-0.000943332,-0.0391654,0.0450402,0.00615642,-0.0192868
0.015,-0.149926,-0.193175,-0.000915202,-0.036228,0.0450402,0.00297764,-0.0192345
0.016,-0.150093,-0.193195,-0.000886589,-0.0332906,0.044061,4.01363e-05,-0.0182293
0.015,-0.150966,-0.193917,-0.000708747,-0.0352488,0.0450402,0.00187751,-0.0190608
0.016,-0.152893,-0.195401,-0.000355248,-0.036228,0.0469984,0.00259474,-0.0206821
0.016,-0.154955,-0.19724,8.02241e-07,-0.036228,0.0479776,0.00226806,-0.0212984
0.016,-0.156988,-0.200005,0.000198654,-0.0381862,0.0489567,0.00375379,-0.0219301
0.016,-0.159017,-0.203002,0.000396462,-0.0391654,0.0489567,0.00421361,-0.0215781
0.016,-0.160429,-0.206241,0.000273973,-0.0391654,0.0479776,0.0036593,-0.0203586
0.015,-0.161797,-0.209612,0.000159718,-0.0401445,0.0479776,0.00405809,-0.020123
0.015,-0.163219,-0.212886,-0.00010391,-0.0401445,0.0479776,0.00350533,-0.0198867
0.016,-0.166148,-0.215503,-0.000540312,-0.0391654,0.050915,0.00207925,-0.0223228
0.015,-0.17025,-0.218183,-0.000944911,-0.0401445,0.0538524,0.00258941,-0.0245485
0.016,-0.175225,-0.220823,-0.00137536,-0.0401445,0.0548315,0.0021236,-0.0246624
0.015,-0.17979,-0.223097,-0.00177811,-0.0401445,0.0558106,0.00172796,-0.0248525
0.016,-0.183669,-0.225173,-0.00205087,-0.0401445,0.0548315,0.00135497,-0.0231928
0.016,-0.185715,-0.226629,-0.00216977,-0.0391654,0.0518941,0.000125296,-0.0199029
0.015,-0.18635,-0.228457,-0.00198618,-0.0401445,0.0489567,0.000785712,-0.016853
0.016,-0.185938,-0.231039,-0.00147469,-0.0411236,0.0460193,0.00132825,-0.0139931
0.016,-0.185428,-0.232963,-0.000804598,-0.0401445,0.0450402,2.5928e-05,-0.0131079
0.016,-0.184513,-0.2349,-0.000135461,-0.0401445,0.044061,-0.000291441,-0.012299
0.015,-0.184304,-0.237704,0.000343577,-0.0430819,0.0450402,0.00217135,-0.0133205
0.015,-0.184821,-0.240007,0.000675584,-0.0430819,0.0469984,0.00179159,-0.0152024
0.016,-0.185915,-0.241792,0.00103209,-0.0430819,0.0489567,0.00147209,-0.0169628
0.015,-0.18626,-0.243185,0.00121574,-0.0430819,0.0489567,0.00123667,-0.0169066
0.016,-0.186276,-0.243484,0.00141116,-0.0411236,0.0489567,-0.000781409,-0.0168976
0.015,-0.18599,-0.244043,0.00159537,-0.0411236,0.0489567,-0.000877485,-0.0169468
0.015,-0.185023,-0.244432,0.00192708,-0.0401445,0.0469984,-0.00192356,-0.0151551
0.016,-0.184548,-0.245592,0.00228229,-0.0411236,0.0469984,-0.00114389,-0.0152368
0.015,-0.183581,-0.247015,0.0024619,-0.0421028,0.0450402,-0.000418201,-0.0134386
0.016,-0.182648,-0.249031,0.00265246,-0.0430819,0.044061,0.000205491,-0.0126139
0.015,-0.181586,-0.250339,0.00282787,-0.0421028,0.0421028,-0.00100749,-0.0108323
0.015,-0.18118,-0.250546,0.0030051,-0.0401445,0.0430819,-0.00300136,-0.0118814
