dt,roll_imu,pitch_imu,yaw_imu,roll_cal,pitch_cal,yaw_cal,axb,ayb,axn_imu,ayn_imu,axn,ayn
0.011,8.51,-0.9,0,0.193571,-0.0455332,0,-0.140995,-0.601188,-0.0120656,-0.850026,0.133236,0.568205
0.015,8.51,-0.9,0,0.443186,-0.104214,0,-0.140995,-0.601188,-0.0120656,-0.850026,0.123231,0.525662
0.016,8.51,-0.9,0,0.688136,-0.161959,0,-0.140995,-0.598251,-0.0120588,-0.852931,0.113382,0.480967
0.015,8.51,-0.9,0,0.899581,-0.211768,0,-0.140995,-0.598251,-0.0120588,-0.852931,0.104883,0.444914
0.016,8.51,-0.9,0,1.10935,-0.260757,0,-0.140995,-0.598251,-0.0120588,-0.852931,0.0965222,0.409141
0.015,8.51,-0.9,0,1.29029,-0.303012,0,-0.140995,-0.598251,-0.0120588,-0.852931,0.0893086,0.37828
0.015,8.51,-0.9,0,1.45705,-0.342092,0,-0.140995,-0.598251,-0.012074,-0.853076,0.0826301,0.34981
0.016,8.51,-0.89,0,1.62175,-0.380812,0,-0.140995,-0.598251,-0.0103731,-0.853076,0.0760175,0.321709
0.016,8.54,-0.89,0,1.77482,-0.416432,0,-0.140995,-0.601188,-0.010373,-0.855273,0.0699328,0.298526
0.015,8.54,-0.89,0,1.90686,-0.445864,0,-0.138058,-0.601188,-0.01331,-0.855273,0.0619677,0.275995
0.015,8.54,-0.89,0,2.02884,-0.473087,0,-0.138058,-0.601188,-0.01331,-0.855273,0.0573169,0.255178
0.015,8.54,-0.89,0,2.14325,-0.498267,0,-0.138058,-0.605105,-0.0133191,-0.8514,0.0530138,0.239566
0.015,8.54,-0.89,0,2.24968,-0.522848,0,-0.140995,-0.605105,-0.010382,-0.8514,0.0517516,0.221401
0.015,8.54,-0.89,0,2.34708,-0.545585,0,-0.140995,-0.605105,-0.010382,-0.8514,0.0478671,0.204777
0.015,8.54,-0.89,0,2.43706,-0.566465,0,-0.140995,-0.605105,-0.010367,-0.851255,0.0443094,0.189461
0.016,8.54,-0.89,0,2.52568,-0.587067,0,-0.140995,-0.605105,-0.010367,-0.851255,0.0407901,0.174336
0.016,8.54,-0.89,0,2.60538,-0.60602,0,-0.140995,-0.601188,-0.0103579,-0.855128,0.0375543,0.15682
0.015,8.54,-0.89,0,2.67412,-0.622367,0,-0.140995,-0.601188,-0.0103579,-0.855128,0.034762,0.145087
0.015,8.54,-0.89,0,2.73771,-0.637487,0,-0.140995,-0.601188,-0.0103579,-0.855128,0.0321793,0.134234
0.016,8.54,-0.89,0,2.80228,-0.652403,0,-0.140995,-0.605105,-0.010367,-0.851255,0.0296292,0.127124
0.015,8.54,-0.89,0,2.85797,-0.665268,0,-0.140995,-0.605105,-0.010367,-0.851255,0.0274316,0.117617
0.015,8.54,-0.89,0,2.90979,-0.677168,0,-0.140995,-0.605105,-0.010367,-0.851255,0.025399,0.108772
0.016,8.54,-0.89,0,2.96092,-0.689068,0,-0.140995,-0.605105,-0.010367,-0.851255,0.0233664,0.100045
0.015,8.54,-0.89,0,3.00547,-0.699332,0,-0.140995,-0.605105,-0.010367,-0.851255,0.0216133,0.0924403
0.016,8.54,-0.89,0,3.04942,-0.709458,0,-0.140995,-0.605105,-0.010367,-0.851255,0.0198838,0.0849372
0.015,8.54,-0.89,0,3.08793,-0.718192,0,-0.140995,-0.605105,-0.010367,-0.851255,0.0183921,0.0783634
0.016,8.54,-0.89,0,3.12593,-0.726809,0,-0.140995,-0.605105,-0.010367,-0.851255,0.0169204,0.0718771
0.016,8.54,-0.89,0,3.16025,-0.734736,0,-0.140995,-0.605105,-0.010367,-0.851255,0.0155665,0.0660188
0.016,8.54,-0.89,0,3.19182,-0.74187,0,-0.140995,-0.605105,-0.010367,-0.851255,0.0143483,0.0606292
0.015,8.54,-0.89,0,3.21861,-0.748022,0,-0.140995,-0.605105,-0.010367,-0.851255,0.0132976,0.0560574
0.016,8.54,-0.89,0,3.24551,-0.754252,0,-0.140995,-0.605105,-0.010367,-0.851255,0.0122337,0.0514645
0.015,8.54,-0.89,0,3.26872,-0.759625,0,-0.140995,-0.605105,-0.010367,-0.851255,0.0113161,0.0475032
0.016,8.54,-0.89,0,3.29162,-0.764926,0,-0.140995,-0.605105,-0.010367,-0.851255,0.0104108,0.0435946
0.016,8.54,-0.89,0,3.31268,-0.769804,0,-0.140995,-0.605105,-0.010367,-0.851255,0.00957794,0.0399989
0.015,8.54,-0.89,0,3.33085,-0.77401,0,-0.140995,-0.605105,-0.010367,-0.851255,0.00885963,0.0368974
0.016,8.54,-0.89,0,3.34877,-0.778161,0,-0.140995,-0.605105,-0.010367,-0.851255,0.00815094,0.0338373
0.016,8.54,-0.89,0,3.3636,-0.78198,0,-0.140995,-0.601188,-0.0103579,-0.855128,0.00750181,0.0273976
0.015,8.54,-0.89,0,3.37653,-0.785425,0,-0.140995,-0.601188,-0.0103579,-0.855128,0.00691374,0.0251899
0.015,8.58,-0.89,0,3.38864,-0.788611,0,-0.140995,-0.601188,-0.0103486,-0.861929,0.00636978,0.0231224
0.016,8.58,-0.89,0,3.40059,-0.791754,0,-0.140995,-0.601188,-0.0103486,-0.861929,0.00583307,0.0210822
0.015,8.58,-0.89,0,3.4109,-0.794465,0,-0.140995,-0.601188,-0.0103486,-0.861929,0.00537014,0.0193226
0.015,8.58,-0.89,0,3.42044,-0.796973,0,-0.140995,-0.601188,-0.0103486,-0.861929,0.00494199,0.017695
0.016,8.58,-0.89,0,3.4303,-0.799447,0,-0.140995,-0.602167,-0.0103509,-0.860961,0.00451876,0.0169882
0.016,8.58,-0.89,0,3.43922,-0.801723,0,-0.140995,-0.602167,-0.0103509,-0.860961,0.00413018,0.0154662
0.016,8.58,-0.89,0,3.44726,-0.803817,0,-0.140995,-0.602167,-0.0103509,-0.860961,0.00377268,0.0140932
0.016,8.58,-0.89,0,3.4545,-0.805743,0,-0.140995,-0.602167,-0.0103509,-0.860961,0.00344376,0.0128573
0.015,8.58,-0.89,0,3.46075,-0.807405,0,-0.140995,-0.602167,-0.0103509,-0.860961,0.0031601,0.0117915
0.016,8.58,-0.89,0,3.46643,-0.808885,0,-0.140995,-0.602167,-0.0103509,-0.860961,0.00290744,0.0108215
0.015,8.58,-0.89,0,3.47103,-0.811881,0,-0.144912,-0.602167,-0.00643483,-0.860961,0.00631201,0.0100363
0.016,8.58,-0.89,0,3.47509,-0.814838,0,-0.144912,-0.602167,-0.00643483,-0.860961,0.00580724,0.0093435
0.016,8.58,-0.89,0,3.47818,-0.817558,0,-0.144912,-0.602167,-0.00643483,-0.860961,0.00534287,0.00881541
0.015,8.58,-0.89,0,3.48145,-0.819904,0,-0.144912,-0.602167,-0.00643483,-0.860961,0.00494234,0.00825751
0.016,8.58,-0.89,0,3.48435,-0.822219,0,-0.144912,-0.602167,-0.00643483,-0.860961,0.00454716,0.00776148
0.015,8.58,-0.89,0,3.48686,-0.824215,0,-0.144912,-0.602167,-0.00643483,-0.860961,0.00420633,0.00733393
0.016,8.58,-0.89,0,3.48871,-0.826185,0,-0.144912,-0.601188,-0.00643255,-0.861929,0.0038708,0.0060401
0.015,8.58,-0.89,0,3.49031,-0.827735,0,-0.144912,-0.601188,-0.00643255,-0.861929,0.00360623,0.00576717
0.016,8.58,-0.89,0,3.49205,-0.829264,0,-0.144912,-0.601188,-0.00643255,-0.861929,0.00334521,0.0054704
0.015,8.58,-0.89,0,3.49355,-0.830583,0,-0.144912,-0.601188,-0.00643255,-0.861929,0.00312006,0.00521463
0.015,8.58,-0.89,0,3.49508,-0.831803,0,-0.144912,-0.601188,-0.00643255,-0.861929,0.00291179,0.00495243
0.016,8.54,-0.89,0,3.4966,-0.833006,0,-0.144912,-0.601188,-0.00644188,-0.855128,0.00270632,0.00469369
0.015,8.54,-0.89,0,3.49977,-0.834043,0,-0.144912,-0.605105,-0.00645091,-0.851255,0.00252588,0.00806087
0.015,8.54,-0.89,0,3.50211,-0.835002,0,-0.144912,-0.605105,-0.00645091,-0.851255,0.00236219,0.007662
0.016,8.54,-0.89,0,3.50506,-0.835948,0,-0.144912,-0.605105,-0.00645091,-0.851255,0.00220069,0.00715917
0.015,8.54,-0.89,0,3.50805,-0.835043,0,-0.140995,-0.605105,-0.010367,-0.851255,-0.00156102,0.00664866
0.015,8.54,-0.89,0,3.51081,-0.834207,0,-0.140995,-0.605105,-0.010367,-0.851255,-0.00141823,0.00617629
0.016,8.54,-0.89,0,3.51354,-0.833381,0,-0.140995,-0.605105,-0.010367,-0.851255,-0.00127733,0.00571048
0.015,8.54,-0.89,0,3.51545,-0.832669,0,-0.140995,-0.605105,-0.010367,-0.851255,-0.00115576,0.00538546
0.016,8.54,-0.89,0,3.51733,-0.831967,0,-0.140995,-0.605105,-0.010367,-0.851255,-0.00103588,0.00506467
0.016,8.54,-0.89,0,3.51841,-0.831321,0,-0.140995,-0.605105,-0.010367,-0.851255,-0.000925541,0.00487888
0.015,8.54,-0.89,0,3.51995,-0.830763,0,-0.140995,-0.605105,-0.010367,-0.851255,-0.000830397,0.0046162
0.016,8.54,-0.89,0,3.51948,-0.830215,0,-0.140995,-0.601188,-0.0103579,-0.855128,-0.000733256,0.000787914
0.015,8.54,-0.89,0,3.51892,-0.829742,0,-0.140995,-0.601188,-0.0103579,-0.855128,-0.000652537,0.000883222
0.016,8.54,-0.89,0,3.51821,-0.829275,0,-0.140995,-0.601188,-0.0103579,-0.855128,-0.00057289,0.0010047
0.015,8.54,-0.89,0,3.5176,-0.828873,0,-0.140995,-0.601188,-0.0103579,-0.855128,-0.000504181,0.00110942
0.016,8.54,-0.89,0,3.51699,-0.828476,0,-0.140995,-0.601188,-0.0103579,-0.855128,-0.000436366,0.00121272
0.015,8.54,-0.89,0,3.51518,-0.828135,0,-0.140995,-0.598251,-0.0103512,-0.858033,-0.000375524,-0.00141031
0.015,8.51,-0.89,0,3.51351,-0.827819,0,-0.140995,-0.598251,-0.0103581,-0.852931,-0.000321612,-0.0011245
0.016,8.51,-0.89,0,3.51186,-0.827507,0,-0.140995,-0.598251,-0.0103581,-0.852931,-0.000268415,-0.000842452
0.016,8.51,-0.89,0,3.51034,-0.827221,0,-0.140995,-0.598251,-0.0103581,-0.852931,-0.000219494,-0.000582933
0.015,8.51,-0.89,0,3.50918,-0.826974,0,-0.140995,-0.598251,-0.0103581,-0.852931,-0.000177309,-0.000384986
0.015,8.51,-0.89,0,3.50767,-0.826745,0,-0.140995,-0.597272,-0.0103558,-0.8539,-0.000137448,-0.00110555
0.015,8.51,-0.89,0,3.50613,-0.826534,0,-0.140995,-0.597272,-0.0103558,-0.8539,-0.000101417,-0.000842631
0.016,8.51,-0.89,0,3.50445,-0.826326,0,-0.140995,-0.597272,-0.0103558,-0.8539,-6.58482E-05,-0.000555873
0.015,8.51,-0.89,0,3.50255,-0.826146,0,-0.140995,-0.597272,-0.0103558,-0.8539,-3.51518E-05,-0.000231683
0.016,8.5,-0.89,0,3.50004,-0.825489,0,-0.140995,-0.597272,-0.0103582,-0.852199,7.69198E-05,0.000197411
0.015,8.5,-0.89,0,3.49412,-0.824923,0,-0.140995,-0.597272,-0.0103582,-0.852199,0.000173569,0.00120771
0.016,8.5,-0.89,0,3.487,-0.823726,0,-0.140995,-0.597272,-0.0103582,-0.852199,0.000377983,0.00242305
0.016,8.49,-0.89,0,3.47423,-0.821887,0,-0.138058,-0.596293,-0.0132953,-0.851467,-0.00224434,0.00362509
0.015,8.49,-0.89,0,3.46819,-0.820152,0,-0.138058,-0.595313,-0.013293,-0.852435,-0.00194725,0.00367904
0.016,8.48,-0.89,0,3.46145,-0.81828,0,-0.138058,-0.594334,-0.0132931,-0.851703,-0.00162691,0.00385225
0.015,8.47,-0.89,0,3.45416,-0.816517,0,-0.138058,-0.593355,-0.0132932,-0.850971,-0.00132504,0.00411934
0.016,8.46,-0.88,0,3.44475,-0.814618,0,-0.138058,-0.592376,-0.0115926,-0.850239,-0.000999942,0.00474888
0.015,8.45,-0.88,0,3.43605,-0.81283,0,-0.138058,-0.591397,-0.0115927,-0.849507,-0.000693932,0.00525618
0.015,8.44,-0.88,0,3.42493,-0.810748,0,-0.137079,-0.58748,-0.0125651,-0.851681,-0.00131421,0.00324374
0.016,8.48,-0.88,0,3.41369,-0.808694,0,-0.137079,-0.585522,-0.0125515,-0.860419,-0.000961974,0.00320774
0.016,8.41,-0.88,0,3.40198,-0.806806,0,-0.137079,-0.582585,-0.012561,-0.851423,-0.000637189,0.00227541
0.015,8.4,-0.88,0,3.39316,-0.805176,0,-0.137079,-0.585522,-0.0125698,-0.846817,-0.000361457,0.00671262
0.016,8.89,-0.88,0,3.38221,-0.803731,0,-0.137079,-0.578668,-0.0124369,-0.936878,-0.000108987,0.00173891
0.015,8.88,-0.87,0,3.37191,-0.823561,0,-0.185056,-0.57671,0.0372363,-0.937113,0.0444804,0.00154203
0.016,8.87,-0.87,0,3.36227,-0.843128,0,-0.185056,-0.574752,0.0372384,-0.937349,0.0411419,0.00123233
0.015,8.86,-0.87,0,3.3537,-0.860155,0,-0.185056,-0.572793,0.0372405,-0.937586,0.0382371,0.000740588
0.016,8.85,-0.87,0,3.34542,-0.876956,0,-0.185056,-0.571814,0.0372404,-0.936854,0.0353701,0.00117564
0.015,8.85,-0.87,0,3.33888,-0.891296,0,-0.185056,-0.571814,0.0372404,-0.936854,0.0329221,0.00229162
0.015,8.84,-0.87,0,3.33185,-0.904563,0,-0.185056,-0.568877,0.0372447,-0.938058,0.0306602,0.000560224
0.015,8.88,-0.87,0,3.32446,-0.916694,0,-0.185056,-0.567898,0.037257,-0.94582,0.0285903,0.000844181
0.016,8.88,-0.87,0,3.31783,-0.928504,0,-0.185056,-0.566919,0.0372593,-0.946787,0.0265753,0.000998259
0.015,8.84,-0.86,0,3.31167,-0.938137,0,-0.184077,-0.565939,0.0379716,-0.94096,0.0239529,0.00107157
0.016,8.81,-0.86,0,3.3053,-0.947642,0,-0.184077,-0.56496,0.0379664,-0.936832,0.0223314,0.00118154
0.015,8.81,-0.86,0,3.29938,-0.955434,0,-0.184077,-0.563981,0.0379832,-0.937649,0.0210187,0.00126934
0.016,8.8,-0.86,0,3.29309,-0.962663,0,-0.183098,-0.563002,0.037004,-0.936918,0.0188068,0.00136536
0.016,8.49,-0.86,0,3.28084,-0.968673,0,-0.183098,-0.565939,0.0369235,-0.881343,0.0177781,0.00638902
0.015,8.49,-0.85,0,3.26886,-0.973993,0,-0.182119,-0.562023,0.0376529,-0.885217,0.015895,0.0045228
0.015,8.48,-0.85,0,3.25694,-0.978916,0,-0.182119,-0.559085,0.037657,-0.886423,0.0150577,0.00362366
0.015,8.48,-0.85,0,3.24594,-0.983488,0,-0.18114,-0.558106,0.0366801,-0.887391,0.0132993,0.00452363
0.016,8.47,-0.85,0,3.2399,-0.988196,0,-0.18114,-0.557127,0.03668,-0.88666,0.0124968,0.00457776
0.016,8.47,-0.85,0,3.23452,-0.992388,0,-0.180161,-0.556148,0.0357031,-0.887629,0.0108033,0.00451827
0.015,8.46,-0.85,0,3.23035,-0.996162,0,-0.180161,-0.556148,0.0357152,-0.885785,0.0101763,0.00528425
0.016,8.46,-0.85,0,3.22945,-1,0,-0.180161,-0.555169,0.035703,-0.886898,0.00950512,0.00440562
0.015,8.46,-0.84,0,3.22897,-1.00346,0,-0.180161,-0.555169,0.0374026,-0.886898,0.00891453,0.0044874
0.016,8.46,-0.84,0,3.22772,-1.00704,0,-0.180161,-0.55419,0.0374047,-0.887866,0.00830543,0.0037232
0.016,8.45,-0.84,0,3.22785,-1.00966,0,-0.180161,-0.55419,0.0374024,-0.886167,0.00785781,0.00369984
0.015,8.45,-0.84,0,3.22827,-1.01252,0,-0.180161,-0.55419,0.0374024,-0.886167,0.00736952,0.00362837
0.015,8.45,-0.84,0,3.22896,-1.01562,0,-0.180161,-0.55419,0.0374024,-0.886167,0.00684115,0.00351101
0.015,8.45,-0.84,0,3.22947,-1.01847,0,-0.180161,-0.553211,0.0374045,-0.887135,0.00635476,0.00244653
0.016,8.45,-0.84,0,3.22933,-1.02145,0,-0.180161,-0.553211,0.0374045,-0.887135,0.00584668,0.0024702
0.015,8.45,-0.84,0,3.22981,-1.02402,0,-0.180161,-0.553211,0.0374045,-0.887135,0.00540842,0.00238794
0.016,8.45,-0.84,0,3.23074,-1.02654,0,-0.180161,-0.553211,0.0373903,-0.887279,0.00495991,0.00217432
0.015,8.45,-0.84,0,3.23154,-1.02872,0,-0.180161,-0.553211,0.0373903,-0.887279,0.00458819,0.00203747
0.015,8.45,-0.84,0,3.23243,-1.03073,0,-0.180161,-0.553211,0.0373903,-0.887279,0.0042443,0.00188553
0.016,8.45,-0.84,0,3.23331,-1.03272,0,-0.180161,-0.553211,0.0373903,-0.887279,0.00390504,0.00173539
0.016,8.45,-0.84,0,3.23412,-1.03455,0,-0.180161,-0.553211,0.0373903,-0.887279,0.00359288,0.00159734
0.015,8.45,-0.84,0,3.23482,-1.03613,0,-0.180161,-0.553211,0.0373903,-0.887279,0.00332361,0.00147814
0.015,8.45,-0.84,0,3.23547,-1.03759,0,-0.180161,-0.553211,0.0373903,-0.887279,0.0030746,0.00136799
0.016,8.45,-0.84,0,3.23626,-1.04086,0,-0.184077,-0.553211,0.0413064,-0.887279,0.00643155,0.00123209
0.015,8.45,-0.84,0,3.23695,-1.04369,0,-0.184077,-0.553211,0.0413064,-0.887279,0.00594939,0.00111473
0.016,8.45,-0.84,0,3.23763,-1.04647,0,-0.184077,-0.553211,0.0413064,-0.887279,0.00547372,0.000999093
0.015,8.45,-0.84,0,3.23821,-1.04888,0,-0.184077,-0.553211,0.0413064,-0.887279,0.00506341,0.000899076
0.016,8.45,-0.84,0,3.23879,-1.05125,0,-0.184077,-0.553211,0.0413064,-0.887279,0.00465861,0.000800788
0.015,8.45,-0.84,0,3.23929,-1.0533,0,-0.184077,-0.553211,0.0413064,-0.887279,0.00430948,0.000715792
0.016,8.45,-0.84,0,3.23978,-1.05531,0,-0.184077,-0.553211,0.0413064,-0.887279,0.00396493,0.000631869
0.015,8.45,-0.84,0,3.2402,-1.05533,0,-0.180161,-0.553211,0.0373903,-0.887279,4.56423E-05,0.000559628
0.016,8.45,-0.84,0,3.24062,-1.05535,0,-0.180161,-0.553211,0.0373903,-0.887279,4.22448E-05,0.000488341
0.016,8.45,-0.84,0,3.24101,-1.05537,0,-0.180161,-0.553211,0.0373903,-0.887279,3.91155E-05,0.000422776
0.016,8.45,-0.84,0,3.24136,-1.05539,0,-0.180161,-0.553211,0.0373903,-0.887279,3.62396E-05,0.000362396
0.015,8.45,-0.84,0,3.24166,-1.0554,0,-0.180161,-0.553211,0.0373903,-0.887279,3.37958E-05,0.000310361
0.016,8.45,-0.84,0,3.24197,-1.05542,0,-0.180161,-0.553211,0.0373903,-0.887279,3.13371E-05,0.000259101
0.016,8.45,-0.84,0,3.24224,-1.05543,0,-0.180161,-0.553211,0.0373903,-0.887279,2.9102E-05,0.000211835
0.016,8.45,-0.84,0,3.2425,-1.05544,0,-0.180161,-0.553211,0.0373903,-0.887279,2.6986E-05,0.000168383
0.015,8.45,-0.84,0,3.24272,-1.05545,0,-0.180161,-0.553211,0.0373903,-0.887279,2.51979E-05,0.000130892
0.016,8.45,-0.84,0,3.24293,-1.05546,0,-0.180161,-0.553211,0.0373903,-0.887279,2.33948E-05,9.38177E-05
0.016,8.45,-0.84,0,3.24313,-1.05547,0,-0.180161,-0.553211,0.0373903,-0.887279,2.18004E-05,5.97835E-05
0.015,8.45,-0.84,0,3.24331,-1.05548,0,-0.180161,-0.553211,0.0373903,-0.887279,2.03699E-05,3.03388E-05
0.015,8.45,-0.84,0,3.24346,-1.05549,0,-0.180161,-0.553211,0.0373903,-0.887279,1.90884E-05,3.15905E-06
0.015,8.45,-0.84,0,3.24361,-1.0555,0,-0.180161,-0.553211,0.0373903,-0.887279,1.79112E-05,-2.18749E-05
0.015,8.45,-0.84,0,3.24375,-1.0555,0,-0.180161,-0.553211,0.0373903,-0.887279,1.67787E-05,-4.52399E-05
0.016,8.45,-0.84,0,3.24388,-1.05551,0,-0.180161,-0.553211,0.0373903,-0.887279,1.56909E-05,-6.81281E-05
0.016,8.45,-0.84,0,3.24401,-1.05552,0,-0.180161,-0.553211,0.0373903,-0.887279,1.46478E-05,-8.93474E-05
0.016,8.45,-0.84,0,3.24412,-1.05552,0,-0.180161,-0.553211,0.0373903,-0.887279,1.37687E-05,-0.000108659
0.016,8.45,-0.84,0,3.24422,-1.05553,0,-0.180161,-0.553211,0.0373903,-0.887279,1.29342E-05,-0.000126421
0.015,8.45,-0.84,0,3.24431,-1.05553,0,-0.180161,-0.553211,0.0373903,-0.887279,1.22041E-05,-0.000141799
0.016,8.45,-0.84,0,3.2444,-1.05553,0,-0.180161,-0.553211,0.0373903,-0.887279,1.14888E-05,-0.000156999
0.016,8.45,-0.84,0,3.24449,-1.05553,0,-0.180161,-0.553211,0.0373903,-0.887279,1.23531E-05,-0.000171542
0.016,8.45,-0.84,0,3.24457,-1.05552,0,-0.180161,-0.553211,0.0373903,-0.887279,1.31875E-05,-0.000184715
0.015,8.45,-0.84,0,3.24463,-1.05552,0,-0.180161,-0.553211,0.0373903,-0.887279,1.38879E-05,-0.000196278
0.016,8.45,-0.84,0,3.2447,-1.05552,0,-0.180161,-0.553211,0.0373903,-0.887279,1.45733E-05,-0.000207543
0.016,8.45,-0.84,0,3.24476,-1.05719,0,-0.184077,-0.553211,0.0413064,-0.887279,0.00364499,-0.000218093
0.015,8.45,-0.84,0,3.24481,-1.05863,0,-0.184077,-0.553211,0.0413064,-0.887279,0.00339894,-0.000226974
0.016,8.45,-0.84,0,3.24486,-1.06006,0,-0.184077,-0.553211,0.0413064,-0.887279,0.00315452,-0.000235319
0.015,8.45,-0.84,0,3.2449,-1.0613,0,-0.184077,-0.553211,0.0413064,-0.887279,0.00294372,-0.000242531
0.015,8.45,-0.84,0,3.24494,-1.06244,0,-0.184077,-0.553211,0.0413064,-0.887279,0.00274876,-0.000249147
0.015,8.45,-0.84,0,3.24498,-1.0635,0,-0.184077,-0.553211,0.0413064,-0.887279,0.00256839,-0.000255466
0.016,8.45,-0.84,0,3.24502,-1.06454,0,-0.184077,-0.553211,0.0413064,-0.887279,0.00239049,-0.000261426
0.016,8.45,-0.84,0,3.24505,-1.0655,0,-0.184077,-0.553211,0.0413064,-0.887279,0.00222676,-0.000267029
0.015,8.45,-0.84,0,3.24508,-1.06632,0,-0.184077,-0.553211,0.0413064,-0.887279,0.00208552,-0.000271857
0.016,8.45,-0.84,0,3.2451,-1.06714,0,-0.184077,-0.553211,0.0413064,-0.887279,0.00194621,-0.000276625
0.016,8.45,-0.84,0,3.24513,-1.06789,0,-0.184077,-0.553211,0.0413064,-0.887279,0.00181805,-0.000280976
