dt,acc_x,acc_y,gyr_x,gyr_y,r_imu,p_imu,y_imu,r_cal,p_cal,y_cal,ax_n_imu,ay_n_imu,ax_n_cal,ay_n_cal,dax_n_imu,dax_n_cal
0,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0,-0,0,0.000697093,-0.000459913,0.0244783,0.0029374,0.000697093,0.0244783
0.01,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.000864591,-0.00720497,0,0.000697093,-0.000459913,0.0232545,0.00279054,0,-0.00122388
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.00209674,-0.0174732,0,0.000699483,-0.000459572,0.0215106,0.00258127,2.38977e-06,-0.00174392
0.016,-0.0244783,-0.0029374,0,0.01,0.02,-0.14,0,0.00331244,-0.0274445,0,0.000699483,-0.000459572,0.0198169,0.00237479,0,-0.00169361
0.016,-0.0244783,-0.0029374,0,0.01,0.02,-0.14,0,0.00443085,-0.0366181,0,0.000699483,-0.000459572,0.0182588,0.00218483,0,-0.00155813
0.016,-0.0244783,-0.0029374,0,0.01,0.02,-0.14,0,0.00545977,-0.0450578,0,0.000699483,-0.000459572,0.0168253,0.00201007,0,-0.00143348
0.015,-0.0244783,-0.0029374,0,0.01,0.02,-0.14,0,0.00634719,-0.0523371,0,0.000699483,-0.000459572,0.015589,0.00185934,0,-0.00123638
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.00716804,-0.0592204,0,0.000699483,-0.000459572,0.0144198,0.00171992,0,-0.00116913
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0079781,-0.0660119,0,0.000699483,-0.000459572,0.0132663,0.00158233,0,-0.00115354
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.00872335,-0.0722602,0,0.000699483,-0.000459572,0.012205,0.00145575,0,-0.00106126
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.00940899,-0.0780086,0,0.000699483,-0.000459572,0.0112287,0.0013393,0,-0.000976358
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0100004,-0.0829665,0,0.000699483,-0.000459572,0.0103866,0.00123885,0,-0.000842109
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0105836,-0.0878584,0,0.000699483,-0.000459572,0.00955568,0.00113979,0,-0.000830885
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0110865,-0.0920766,0,0.000697093,-0.000459913,0.00883766,0.00105419,-2.38977e-06,-0.000718029
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0115827,-0.0962386,0,0.000697093,-0.000459913,0.00813068,0.000969901,0,-0.000706976
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0120106,-0.0998283,0,0.000697093,-0.000459913,0.00752091,0.000897207,0,-0.000609769
0.016,-0.0244783,-0.0029374,0.01,-0,0.02,-0.14,0,0.0125929,-0.10337,0,0.000697093,-0.000459913,0.00691928,0.000798306,0,-0.000601634
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.012945,-0.106425,0,0.000697093,-0.000459913,0.00640036,0.000738484,0,-0.000518914
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0132926,-0.10944,0,0.000699483,-0.000459572,0.00589004,0.000679665,2.38977e-06,-0.000510324
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0136124,-0.112214,0,0.000699483,-0.000459572,0.00541887,0.000625349,0,-0.000471164
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0138882,-0.114607,0,0.000699483,-0.000459572,0.00501248,0.000578502,0,-0.000406392
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0141434,-0.11682,0,0.000699483,-0.000459572,0.00463658,0.00053517,0,-0.000375906
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0143949,-0.119003,0,0.000697093,-0.000459913,0.00426385,0.000492195,-2.38977e-06,-0.000372726
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0146119,-0.120885,0,0.000697093,-0.000459913,0.00394409,0.000455338,0,-0.00031976
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0148126,-0.122626,0,0.000697093,-0.000459913,0.00364831,0.000421246,0,-0.000295775
0.015,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0149982,-0.124237,0,0.000697093,-0.000459913,0.00337472,0.000389713,0,-0.000273593
0.016,-0.0244783,-0.0029374,0,-0,0.02,-0.14,0,0.0151813,-0.125825,0,0.0006947,-0.000460255,0.00310282,0.000358363,-2.3935e-06,-0.0002719
