dt,acc_x,acc_y,gyr_x,gyr_y,r_imu,p_imu,y_imu,r_cal,p_cal,y_cal,ax_n_imu,ay_n_imu,ax_n_cal,ay_n_cal,ax_n_cal_kalman,dax_n_imu,dax_n_cal,
0,-0.0264366,0.00195827,0,0,-0.01,-0.15,0,0,0,0,0.000954129,-0.000259439,0.0264366,-0.00195827,0.0132519,0.000954129,0.0264366,
0.006,-0.0264366,0.00195827,0,0,-0.01,-0.15,0,-0.000345804,-0.00466835,0,0.000954129,-0.000259439,0.0256435,-0.00189952,0.0174188,0,-0.000793073,0.0041669
0.015,-0.0264366,0.00195827,0,0,-0.01,-0.15,0,-0.00118438,-0.0159891,0,0.000954129,-0.000259439,0.0237203,-0.00175706,0.0190249,0,-0.0019232,0.0016061
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.00196006,-0.0260286,0,-2.50004E-05,-0.000259439,0.0210357,-0.00162529,0.0194425,-0.000979129,-0.00268467,0.0004176
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.00267757,-0.0353151,0,-2.50004E-05,-0.000259439,0.0194581,-0.0015034,0.0194485,0,-0.00157762,6.00000000000253E-06
0.016,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.00338551,-0.0444778,0,-2.50004E-05,-0.000259439,0.0179015,-0.00138313,0.0192153,0,-0.00155659,0.0002332
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.00399611,-0.0523806,0,-2.50004E-05,-0.000259439,0.0165589,-0.0012794,0.0188548,0,-0.00134256,0.0003605
0.016,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.00459857,-0.0601781,0,-2.50004E-05,-0.000259439,0.0152342,-0.00117705,0.0184051,0,-0.00132466,0.0004497
0.015,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.00511819,-0.0669034,0,-2.50004E-05,-0.000259439,0.0140917,-0.00108877,0.0179074,0,-0.00114252,0.0004977
0.016,-0.0254575,0.00195827,0,0,-0.01,-0.15,0,-0.00563089,-0.0735391,0,-2.50004E-05,-0.000259439,0.0129644,-0.00100168,0.0173709,0,-0.00112729,0.0005365
0.015,-0.0254575,0.00195827,0,0.01,-0.01,-0.15,0,-0.00607309,-0.0791124,0,-2.50004E-05,-0.000259439,0.0120176,-0.000926555,0.0168182,0,-0.000946804,0.0005527
0.015,-0.0254575,0.00195827,0,0.01,-0.01,-0.15,0,-0.00648212,-0.0842677,0,-2.50004E-05,-0.000259439,0.0111418,-0.000857066,0.0162554,0,-0.000875801,0.0005628
0.015,-0.0254575,0.00195827,0,0.01,-0.01,-0.15,0,-0.00686048,-0.0890363,0,-2.50004E-05,-0.000259439,0.0103317,-0.00079279,0.015687,0,-0.000810107,0.0005684
0.015,-0.0254575,0.000979134,0,0.01,-0.01,-0.15,0,-0.00677816,-0.0934462,0,-2.75653E-05,0.000719866,0.00958096,0.000172476,0.0151158,-2.56486E-06,-0.000750764,0.0005712
0.015,-0.0254575,0.000979134,0,0.01,-0.01,-0.15,0,-0.00670202,-0.0975253,0,-2.75653E-05,0.000719866,0.00888792,0.000159539,0.0145445,0,-0.000693042,0.0005713
0.015,-0.0254575,0.000979134,0,0.01,-0.01,-0.15,0,-0.00663159,-0.101298,0,-2.75653E-05,0.000719866,0.00824685,0.000147572,0.0139749,0,-0.000641068,0.0005696
0.016,-0.0254575,0.000979134,0,0.01,-0.01,-0.15,0,-0.00656209,-0.105021,0,-2.75653E-05,0.000719866,0.00761433,0.000135765,0.0134054,0,-0.000632521,0.0005695
0.015,-0.0254575,0.000979134,0,0,-0.01,-0.15,0,-0.00650216,-0.108382,0,-2.75653E-05,0.000719866,0.00704329,0.000125582,0.012839,0,-0.000571035,0.0005664
0.015,-0.0244783,0.00195827,0,0,-0.01,-0.15,0,-0.0068793,-0.11106,0,-0.00100413,-0.000259439,0.0056111,-0.000789593,0.0122018,-0.000976568,-0.00143219,0.0006372
0.015,-0.0244783,0.00195827,-0.01,0,-0.01,-0.15,0,-0.00737816,-0.113537,0,-0.00100413,-0.000259439,0.00519031,-0.000704845,0.0115826,0,-0.000420794,0.0006192
0.015,-0.0244783,0.00195827,0,0,-0.01,-0.15,0,-0.00768962,-0.115828,0,-0.00100413,-0.000259439,0.00480108,-0.000651934,0.0109811,0,-0.000389231,0.0006015
0.016,-0.0244783,0.00195827,0,0.01,-0.01,-0.15,0,-0.00799693,-0.117929,0,-0.00100413,-0.000259439,0.00444422,-0.000599727,0.0103973,0,-0.00035686,0.0005838
0.015,-0.0244783,0.00195827,0,0.01,-0.01,-0.15,0,-0.00826199,-0.119741,0,-0.00100413,-0.000259439,0.00413642,-0.000554698,0.00983302,0,-0.000307795,0.00056428
0.015,-0.0244783,0.00195827,0,0.01,-0.01,-0.15,0,-0.00850718,-0.121417,0,-0.00100413,-0.000259439,0.00385171,-0.000513045,0.00928782,0,-0.000284711,0.0005452
