dt,acc_x,acc_y,gyr_x,gyr_y,r_imu,p_imu,y_imu,r_cal,p_cal,y_cal,ax_n_imu,ay_n_imu,ax_n_cal,ay_n_cal,ax_n_cal_kalman,dax_n_cal_kalman,dax_n_imu,dax_n_cal
0,-0.188973,-0.357384,0,-0,2.1,-1.11,0,0,-0,0,0.000214249,0.00039798,0.188973,0.357384,0.0947268,0.0947268,0.000214249,0.188973
0.012,-0.188973,-0.357384,0,-0,2.1,-1.11,0,0.126085,-0.0666695,0,0.000214249,0.00039798,0.177644,0.335959,0.122609,0.0278827,0,0.0113293
0.015,-0.188973,-0.357384,0,-0,2.1,-1.11,0,0.274242,-0.14501,0,0.000214249,0.00039798,0.164329,0.310782,0.133243,0.0106334,0,0.0133151
0.015,-0.187994,-0.358363,0,-0,2.1,-1.11,0,0.411728,-0.217047,0,-0.000765383,0.00137645,0.151104,0.288395,0.136947,0.00370418,0.000979632,0.0132249
0.016,-0.187994,-0.358363,0,-0,2.1,-1.11,0,0.547389,-0.288126,0,-0.000765383,0.00137645,0.139019,0.265337,0.137332,0.000384867,0,0.0120846
0.015,-0.187994,-0.358363,0,-0,2.1,-1.11,0,0.664403,-0.349434,0,-0.000765383,0.00137645,0.128594,0.245448,0.13602,0.00131162,0,0.0104246
0.015,-0.188973,-0.358363,0,-0,2.1,-1.11,0,0.772646,-0.406577,0,0.000213549,0.00137645,0.119856,0.227049,0.13383,0.00218984,0.000978932,0.00873803
0.015,-0.188973,-0.358363,0,-0,2.1,-1.11,0,0.872775,-0.459434,0,0.000213549,0.00137645,0.110867,0.210028,0.130981,0.00284904,0,0.00898912
0.015,-0.188973,-0.358363,0,-0,2.1,-1.11,0,0.965398,-0.508327,0,0.000213549,0.00137645,0.102552,0.194282,0.127704,0.00327697,0,0.00831549
0.015,-0.188973,-0.358363,0,-0,2.1,-1.11,0,1.05108,-0.553554,0,0.000213549,0.00137645,0.0948596,0.179717,0.124142,0.00356197,0,0.00769218
0.015,-0.188973,-0.357384,0,-0,2.1,-1.11,0,1.1299,-0.595385,0,0.000214249,0.00039798,0.0877448,0.165337,0.120388,0.00375435,7.00355e-07,0.00711482
0.015,-0.188973,-0.357384,0,-0,2.1,-1.11,0,1.20282,-0.63408,0,0.000214249,0.00039798,0.0811633,0.152941,0.116504,0.00388436,0,0.00658151
