dt,roll,pitch,yaw,ax,ay,vx,vy,dx,dy
1.006,0.0352557,-0.0211185,6.27725,0.000861451,0.000330508,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,0.00085637,-0.000647992,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,0.00085637,-0.000647992,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,0.00085637,-0.000647992,0,0,0,0
0.016,0.0352557,-0.0211185,6.27725,-0.000122517,-0.00064218,0,0,0,0
0.016,0.0352557,-0.0211185,6.27725,-0.000122517,-0.00064218,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000122517,-0.00064218,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000122517,-0.00064218,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.016,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000138283,0.000301957,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000138283,0.000301957,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000138283,0.000301957,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.016,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000138283,0.000301957,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000143364,-0.000676543,0,0,0,0
0.016,0.0352557,-0.0211185,6.27725,-0.000143364,-0.000676543,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000143364,-0.000676543,0,0,0,0
0.016,0.0352557,-0.0211185,6.27725,0.000835523,-0.000682354,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,0.000835523,-0.000682354,0,0,0,0
0.016,0.0352557,-0.0211185,6.27725,0.000835523,-0.000682354,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,0.000861451,0.000330508,0,0,0,0
0.016,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000138283,0.000301957,0,0,0,0
0.016,0.0352557,-0.0211185,6.27725,-0.000138283,0.000301957,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.0011172,0.000307769,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.0011172,0.000307769,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.0011172,0.000307769,0,0,0,0
0.016,0.0352557,-0.0211185,6.27725,-0.000138283,0.000301957,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000138283,0.000301957,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000138283,0.000301957,0,0,0,0
0.016,0.0352557,-0.0211185,6.27725,-0.000138283,0.000301957,0,0,0,0
0.016,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.016,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,0.000861451,0.000330508,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,0.000861451,0.000330508,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,0.000861451,0.000330508,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,0.000861451,0.000330508,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.016,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.016,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.016,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.016,0.0352557,-0.0211185,6.27725,-0.000117436,0.000336319,0,0,0,0
0.016,0.0352557,-0.0211185,6.27725,-0.000138283,0.000301957,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000138283,0.000301957,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,0.000840604,0.000296146,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,0.000840604,0.000296146,0,0,0,0
0.016,0.0352557,-0.0211185,6.27725,0.000840604,0.000296146,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000138283,0.000301957,0,0,0,0
0.016,0.0352557,-0.0211185,6.27725,-0.000138283,0.000301957,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000138283,0.000301957,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000138283,0.000301957,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000138283,0.000301957,0,0,0,0
0.016,0.0352557,-0.0211185,6.27725,-0.000138283,0.000301957,0,0,0,0
0.015,0.0352557,-0.0211185,6.27725,-0.000138283,0.000301957,0,0,0,0
