dt,roll,pitch,yaw,ax,ay,vx,vy,dx,dy,slam位移/m
1.018,0.0349066,-0.0216421,0.00733038,-0.000342846,-0.000215054,0,0,0,0,1.863
0.015,0.0349066,-0.0216421,0.00733038,-0.00032194,-0.000180751,0,0,0,0,
0.015,0.0349066,-0.0216421,0.00733038,-0.00032194,-0.000180751,0,0,0,0,
0.016,0.0349066,-0.0216421,0.00733038,-0.00032194,-0.000180751,0,0,0,0,
0.016,0.0349066,-0.0216421,0.00733038,-0.00032194,-0.000180751,0,0,0,0,
0.015,0.0349066,-0.0216421,0.00733038,-0.000329852,0.000797749,0,0,0,0,
0.015,0.0349066,-0.0216421,0.00733038,-0.000350758,0.000763446,0,0,0,0,
0.015,0.0349066,-0.0216421,0.00733038,-0.000329852,0.000797749,0,0,0,0,
0.016,0.0349066,-0.0216421,0.00733038,-0.000350758,0.000763446,0,0,0,0,
0.015,0.0349066,-0.0216421,0.00733038,-0.000342846,-0.000215054,0,0,0,0,
0.016,0.0349066,-0.0216421,0.00733038,-0.000342846,-0.000215054,0,0,0,0,
0.015,0.0349066,-0.0216421,0.00733038,-0.000342846,-0.000215054,0,0,0,0,
0.016,0.0349066,-0.0216421,0.00733038,-0.000350758,0.000763446,0,0,0,0,
0.015,0.0349066,-0.0216421,0.00733038,-0.000350758,0.000763446,0,0,0,0,
0.016,0.0349066,-0.0216421,0.00733038,-0.000350758,0.000763446,0,0,0,0,
0.015,0.0349066,-0.0216421,0.00733038,-0.000350758,0.000763446,0,0,0,0,
0.015,0.0349066,-0.0216421,0.00733038,-0.000350758,0.000763446,0,0,0,0,
0.016,0.0349066,-0.0216421,0.00733038,-0.000350758,0.000763446,0,0,0,0,
0.015,0.0349066,-0.0216421,0.00733038,-0.000342846,-0.000215054,0,0,0,0,
0.015,0.0349066,-0.0216421,0.00733038,-0.00132173,-0.000222236,0,0,0,0,
0.016,0.0349066,-0.0216421,0.00733038,-0.00132173,-0.000222236,0,0,0,0,
0.015,0.0349066,-0.0216421,0.00733038,-0.000371695,0.000729114,0,0,0,0,
0.015,0.0349066,-0.0216421,0.00733038,-0.000371695,0.000729114,0,0,0,0,
0.016,0.0349066,-0.0216421,0.00733038,-0.000371695,0.000729114,0,0,0,0,
0.015,0.0349066,-0.0216421,0.00733038,-0.000350758,0.000763446,0,0,0,0,
0.015,0.0349066,-0.0216421,0.00733038,-0.000350758,0.000763446,0,0,0,0,
0.015,0.0349066,-0.0216421,0.00733038,-0.000342846,-0.000215054,0,0,0,0,
