行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移
0,0.000240614,0,0,9.25009E-09
0,0.000240857,0,0,1.47531E-07
0,0.000102284,0,0,2.75981E-07
0,0.000211316,0,0,4.22128E-07
0,0.000220808,0,0,5.68276E-07
0,0.000224355,0,0,6.92447E-07
0,0.000245973,0,0,8.16619E-07
0,0.000231176,0,0,9.57899E-07
0,0.000247069,0,0,9.72167E-07
0,0.000124294,0,0,9.86435E-07
0,0.000119763,0,0,1.00267E-06
0,0.000215282,0,0,1.12684E-06
0,0.000188823,0,0,1.25101E-06
0,0.000219092,0,0,1.37255E-06
0,0.000254938,0,0,1.51083E-06
0,0.000190166,0,0,1.52246E-06
0,0.00025721,0,0,1.34315E-06
0,0.000116456,0,0,1.16383E-06
0,0.000212443,0,0,9.59807E-07
0,0.000232082,0,0,7.63652E-07
0,3.61592E-05,0,0.000127957,5.9125E-07
0,0.000158907,0,0.000127957,4.11933E-07
0,0.000215289,0,0.000127957,2.0791E-07
0,0.000237975,0,0.000127957,3.88729E-09
0,0.000244366,0,0.000768376,-1.7543E-07
0,0.000199788,0,0.000768376,-3.54746E-07
0,0.000208127,0,0.000768376,-5.34063E-07
0,0.000206028,0,0.000768376,-7.38086E-07
0,0.00018115,0,0.000600323,-9.17403E-07
0,0.00019357,0,0.000600323,-9.0577E-07
0,0.000241905,0,0.000600323,-7.67489E-07
0,0.000232785,0,0.000320819,-6.52868E-07
0,0.000123321,0,0.000320819,-5.22454E-07
0,0.000118826,0,0.000320819,-5.91867E-07
0,0.000146169,0,0.000320819,-7.71184E-07
0,0.000118674,0,0.000345132,-9.50501E-07
0,0.000125957,0,0.000345132,-1.15452E-06
0,0,0,0.000345132,-1.33384E-06
0,0.000126185,0,0.000345132,-1.53786E-06
0,0.00016374,0,0.00103611,-1.74189E-06
0,0.000266376,0,0.00103611,-1.9212E-06
0,6.50024E-05,0,0.00103611,-2.12523E-06
0,0.000228738,0,0.000717807,-2.11359E-06
0,0.000213285,0,0.000717807,-2.09736E-06
0,0.000188974,0,0.000717807,-2.08309E-06
0,4.66051E-05,0,0.000717807,-2.06882E-06
0,0.000209143,0,0.00111711,-2.05559E-06
0,0.000183891,0,0.00111711,-2.04395E-06
0,0.000205983,0,0.00111711,-2.03072E-06
0,0.000246738,0,0.00111711,-2.01909E-06
0,0.000168893,0,0.000807216,-2.00745E-06
0,0.000172166,0,0.000807216,-1.99582E-06
0,0.000180248,0,0.000807216,-1.98419E-06
0,0.000139987,0,0.000592405,-1.97395E-06
0,0.000237491,0,0.000592405,-1.96232E-06
0,0.000225545,0,0.000592405,-1.94908E-06
0,0.000132095,0,0.000592405,-1.93585E-06
0,0.000185143,0,0.000428184,-1.81431E-06
0,0.000204873,0,0.000428184,-1.69277E-06
0,0.000223556,0,0.000428184,-1.55449E-06
0,0.000207465,0,0.000428184,-1.43296E-06
0,0.000168522,0,0.000564877,-1.50237E-06
0,0.000152138,0,0.000564877,-1.57178E-06
0,0.000249414,0,0.000564877,-1.65076E-06
0,0.000198893,0,0.000564877,-1.72709E-06
0,0.000148003,0,0.000878486,-1.80341E-06
0,0.00025514,0,0.000878486,-1.89026E-06
0,3.87691E-05,0,0.000878486,-1.96658E-06
0,0.000184955,0,0.000393725,-2.04556E-06
0,0.000115173,0,0.000393725,-2.11497E-06
0,0.000215509,0,0.000393725,-2.19395E-06
0,0.000238441,0,0.000393725,-2.26336E-06
0,0.000250015,0,0.000600928,-2.46739E-06
0,0.000154081,0,0.000600928,-2.6467E-06
0,0.00019777,0,0.000600928,-2.82602E-06
0,0.000231909,0,0.000506597,-3.03004E-06
0,0.000252486,0,0.000506597,-3.20936E-06
0,0.000254444,0,0.000506597,-3.41338E-06
0,0.000192861,0,0.000506597,-3.61741E-06
0,0.000238347,0,0.000751961,-3.68682E-06
0,0.000253059,0,0.000751961,-3.76882E-06
0,0.000200772,0,0.000751961,-3.84088E-06
