行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,组合导航位移
0,0.000239086,0,0,1.20122e-08,2.86904e-06,2.84063e-08
0,0.000212253,0,0,3.07813e-08,6.05284e-06,1.45959e-07
0,4.7997e-05,0,0,-7.30658e-08,6.82079e-06,3.37304e-07
0,0,0,0,-1.64338e-07,6.82079e-06,5.78666e-07
0,0.00042699,0,0,-2.55609e-07,1.32256e-05,1.14901e-06
0,4.81433e-05,0,0,-3.59457e-07,1.39959e-05,1.81988e-06
0,0,0,0,-4.63304e-07,1.39959e-05,2.5331e-06
0,4.16103e-05,0,0,-6.64617e-07,1.46201e-05,3.30878e-06
0,0,0,0,-8.65929e-07,1.46201e-05,4.08985e-06
0,0,0,0,-1.09498e-06,1.46201e-05,4.86131e-06
0,0,0,0,-1.32262e-06,1.46201e-05,5.61139e-06
0,3.63076e-05,0,0,-1.5227e-06,1.51647e-05,6.37488e-06
0,4.36925e-05,0,0,-1.72402e-06,1.58201e-05,7.15412e-06
0,0,0,0,-1.81529e-06,1.58201e-05,7.88786e-06
0,0,0,0,-1.91914e-06,1.58201e-05,8.57386e-06
0,0.000224838,0,0,-2.01041e-06,1.91927e-05,9.50823e-06
0,0,0,0,-2.1088e-06,1.91927e-05,1.03725e-05
0,3.64022e-05,0,0,-2.20719e-06,1.97751e-05,1.12215e-05
0,0.000226098,0,0,-2.29243e-06,2.31666e-05,1.23102e-05
0,0,0,0,-2.39082e-06,2.31666e-05,1.33074e-05
0,0.000228305,0,0.000339163,-2.4773e-06,2.65911e-05,1.45353e-05
0,0,0,0.000339163,-2.57569e-06,2.65911e-05,1.56556e-05
0,0,0,0.000339163,-2.67953e-06,2.65911e-05,1.6676e-05
0,0,0,0.000339163,-2.78478e-06,2.65911e-05,1.76045e-05
0,3.26123e-05,0,0.000580817,-2.87729e-06,2.70803e-05,1.84944e-05
0,0,0,0.000580817,-2.98114e-06,2.70803e-05,1.93026e-05
0,0,0,0.000580817,-3.08498e-06,2.70803e-05,2.00361e-05
0,0,0,0.000400655,-3.18883e-06,2.70803e-05,2.07014e-05
0,0,0,0.000400655,-3.2801e-06,2.70803e-05,2.13047e-05
0,0.000212455,0,0.000400655,-3.38395e-06,3.04796e-05,2.21734e-05
0,0,0,0.000400655,-3.4878e-06,3.04796e-05,2.29604e-05
0,0,0,0.000553868,-3.57907e-06,3.04796e-05,2.36734e-05
0,0,0,0.000553868,-3.67034e-06,3.04796e-05,2.43192e-05
0,0,0,0.000553868,-3.77419e-06,3.04796e-05,2.49039e-05
0,0,0,0.000553868,-3.86546e-06,3.04796e-05,2.54334e-05
0,0.000226424,0,0.000516903,-3.96931e-06,3.41024e-05,2.62569e-05
0,0.000207212,0,0.000516903,-4.06058e-06,3.72106e-05,2.72976e-05
0,0,0,0.000516903,-4.15185e-06,3.72106e-05,2.82397e-05
0,0.00019268,0,0.000230898,-4.2557e-06,4.02935e-05,2.93854e-05
0,0.000170882,0,0.000230898,-4.3482e-06,4.28567e-05,3.0666e-05
0,0,0,0.000230898,-4.44071e-06,4.28567e-05,3.18251e-05
0,3.31938e-05,0,0.000230898,-4.54596e-06,4.33878e-05,3.29245e-05
0,0,0,0.000477347,-4.74727e-06,4.33878e-05,3.39195e-05
0,0,0,0.000477347,-4.97632e-06,4.33878e-05,3.48199e-05
0,2.1526e-05,0,0.000477347,-5.17763e-06,4.37107e-05,3.56654e-05
0,0,0,0.000477347,-5.40528e-06,4.37107e-05,3.64306e-05
0,0,0,0.000566135,-5.60536e-06,4.37107e-05,3.7123e-05
0,0,0,0.000566135,-5.80667e-06,4.37107e-05,3.77496e-05
0,0,0,0.000566135,-5.89794e-06,4.37107e-05,3.83166e-05
0,0,0,0.000947286,-6.00179e-06,4.37107e-05,3.88296e-05
0,0,0,0.000947286,-6.09306e-06,4.37107e-05,3.92939e-05
0,0.000245569,0,0.000947286,-6.19691e-06,4.76398e-05,4.00878e-05
0,0,0,0.000947286,-6.28818e-06,4.76398e-05,4.08061e-05
0,0.000228137,0,0.000490159,-6.39203e-06,5.129e-05,4.18033e-05
0,0,0,0.000490159,-6.4833e-06,5.129e-05,4.27057e-05
0,0.000248203,0,0.000490159,-6.58715e-06,5.52612e-05,4.39e-05
0,0,0,0.000490159,-6.67842e-06,5.52612e-05,4.49808e-05
0,0,0,0.000604301,-6.76969e-06,5.52612e-05,4.59587e-05
0,0,0,0.000604301,-6.87354e-06,5.52612e-05,4.68436e-05
0,0.000225757,0,0.000604301,-6.96481e-06,5.86476e-05,4.79664e-05
0,0,0,0.00102692,-7.06866e-06,5.86476e-05,4.89824e-05
0,2.92862e-05,0,0.00102692,-7.15993e-06,5.90869e-05,4.99436e-05
0,0.000116757,0,0.00102692,-7.2512e-06,6.08382e-05,5.098e-05
0,0,0,0.00102692,-7.35505e-06,6.08382e-05,5.19177e-05
0,4.28321e-05,0,0.000467194,-7.44632e-06,6.14807e-05,5.28274e-05
0,0,0,0.000467194,-7.42496e-06,6.14807e-05,5.36505e-05
0,0.000237095,0,0.000467194,-7.51624e-06,6.50372e-05,5.47337e-05
0,0.000205837,0,0.000467194,-7.60504e-06,6.81247e-05,5.60075e-05
0,6.38969e-05,0,0.000775724,-7.70609e-06,6.91471e-05,5.72574e-05
0,0,0,0.000775724,-7.79489e-06,6.91471e-05,5.83884e-05
0,4.92497e-05,0,0.000775724,-7.89594e-06,6.99351e-05,5.94868e-05
0,0,0,0.000513431,-7.98475e-06,6.99351e-05,6.04807e-05
