行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,x_slam,y_slam,组合导航位移
0,0,0,0,1.01236e-07,0,0,0,0
0,0.000117756,0,0,2.36017e-07,1.76634e-06,0,0,3.4466e-08
0,0.000126,0,0,3.85795e-07,3.78234e-06,0,0,1.41905e-07
0,0,0,0,5.35414e-07,3.78234e-06,0,0,2.77428e-07
0,0.000109115,0,0,5.59754e-07,5.52818e-06,0,0,5.14223e-07
0,0.00081328,0,0,6.91255e-07,1.77274e-05,0,0,1.4131e-06
0,0.000955538,0,0,8.40873e-07,3.3016e-05,0,0,3.26425e-06
1,0.00179453,0.000144296,0,4.08753e-06,0.000296934,0,0,2.4136e-05
1,0.00245754,0.000313445,0,1.04558e-05,0.000589055,0,0,6.7814e-05
1,0.00321586,0.000471622,0,1.87165e-05,0.000874293,0,0,0.000133454
1,0.00325862,0.000671237,0,3.10532e-05,0.00117923,0,0,0.000223748
1,0.00556677,0.000872257,0,4.56447e-05,0.00149973,0,0,0.000337763
1,0.00701725,0.00109172,0,6.48678e-05,0.00186481,0,0,0.000479772
1,0.00834949,0.00134152,0,8.68641e-05,0.00222705,0,0,0.000646132
1,0.00795493,0.00165587,0,0.000115873,0.00260713,0,0,0.000839926
1,0.0103813,0.00199543,0,0.000148351,0.00299985,0,0,0.00105728
1,0.0113727,0.00237414,0,0.000189367,0.00343461,0,0,0.00130405
1,0.0127747,0.00274419,0,0.000233305,0.00386323,0,0,0.00157255
1,0.0147144,0.00312405,0,0.000286329,0.00435146,0,0,0.00187127
1,0.0173259,0.00344074,0,0.000343914,0.00488148,0,0,0.00219776
1,0.019336,0.00366422,0,0.000400553,0.00540852,0,0,0.00254445
1,0.0217621,0.00378408,0,0.000458213,0.00597195,-0.00322337,0.00186344,0.00291442
1,0.0238203,0.0038159,0,0.000515691,0.00656625,-0.00322337,0.00186344,0.00330709
1,0.0266044,0.00375549,0,0.000575295,0.00724472,-0.00322337,0.00186344,0.00373028
1,0.029114,0.00362553,0,0.000628703,0.00791843,-0.00322337,0.00186344,0.00417286
