行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移,编码器位移,qr_code_num,qr_code_x,qr_code_y,qr_code_r,x_slam,y_slam,组合导航位移
0,0.000229806,0,0,1.69675e-07,5.74515e-06,472,0.0008,-0.0012,359.7,0,0,5.68827e-08
0,0.000230429,0,0,1.24041e-07,9.20158e-06,472,0.0008,-0.0012,359.7,0,0,2.3532e-07
0,0.000262971,0,0,7.84071e-08,1.31461e-05,472,0.0008,-0.0012,359.7,0,0,6.0543e-07
0,0.000135277,0,0,2.64859e-08,1.53106e-05,472,0.0008,-0.0012,359.7,0,0,1.15286e-06
0,0.000785547,0,0,-1.91479e-08,2.70938e-05,472,0.0008,-0.0012,359.7,0,0,2.32273e-06
0,0.000668011,0,0,5.40874e-08,3.7782e-05,472,0.0008,-0.0012,359.7,0,0,4.17442e-06
0,0.00106615,0,0,1.18454e-07,5.37743e-05,472,0.0008,-0.0013,359.7,0,0,7.07976e-06
1,0.00155301,0.000135127,0,3.15881e-06,0.00031407,472,0.0008,-0.0013,359.7,0,0,2.86776e-05
1,0.00342905,0.000294906,0,9.15555e-06,0.000621734,472,0.0008,-0.0013,359.7,0,0,7.40225e-05
1,0.00321593,0.000485976,0,1.84597e-05,0.000925989,472,0.0005,-0.0011,359.7,0,0,0.000143645
1,0.00407339,0.000694439,0,3.04398e-05,0.00122409,472,0.0008,-0.0013,359.7,0,0,0.000236305
1,0.00553377,0.000947527,0,4.65508e-05,0.0015441,472,0.0008,-0.0013,359.7,0,0,0.000353901
1,0.00627108,0.00122995,0,6.71182e-05,0.00187516,472,0.0008,-0.0013,359.7,0,0,0.000496334
1,0.0076945,0.00156222,0,9.47719e-05,0.00225107,472,0.0008,-0.0013,359.7,0,0,0.000667786
1,0.00984577,0.001911,0,0.000128138,0.00266141,472,0.0008,-0.0013,359.7,0,0,0.00086813
1,0.0112855,0.00223872,0,0.000164177,0.00306769,472,0.0008,-0.0013,359.7,0,0,0.0010923
1,0.0124529,0.00258292,0,0.000205502,0.00349148,472,0.0006,-0.001,359.7,0,0,0.00134171
1,0.0148096,0.00294111,0,0.000255425,0.00398124,472,0.0006,-0.001,359.7,0,0,0.00162283
1,0.0168094,0.00335329,0,0.000308816,0.00447038,472,0.0006,-0.001,359.7,0,0,0.00192808
1,0.0197655,0.00393661,0,0.000376468,0.00503943,472,0.0006,-0.001,359.7,-0.00433612,-0.00340469,0.00227108
1,0.019938,0.00464499,0,0.000451456,0.00557549,472,0.0006,-0.001,359.7,-0.00433612,-0.00340469,0.00263977
1,0.021768,0.0055909,0,0.000548478,0.00617658,472,0.0008,-0.001,359.7,-0.00433612,-0.00340469,0.00304955
1,0.0248836,0.00671,0,0.000657521,0.00678684,472,0.0008,-0.001,359.7,-0.00433612,-0.00340469,0.00348956
1,0.0272267,0.00814765,0.000495426,0.000799384,0.00747526,472,0.0008,-0.001,359.7,-0.00400224,-0.00377071,0.00398094
1,0.0305098,0.0099014,0.000495426,0.000982615,0.00826253,472,0.0011,-0.001,0,-0.00400224,-0.00377071,0.00453554
1,0.0328391,0.0115091,0.000495426,0.001155,0.00894348,472,0.0015,-0.0011,359.7,-0.00400224,-0.00377071,0.00509641
1,0.0346887,0.0133938,0.000495426,0.00137004,0.00970081,472,0.0015,-0.0011,359.7,-0.00400224,-0.00377071,0.0057126
1,0.0391642,0.0155839,0.00102353,0.0016369,0.0105802,472,0.0015,-0.0011,359.7,-0.00341965,-0.00386043,0.00639817
1,0.0418305,0.0178643,0.00102353,0.00192197,0.0114447,472,0.0021,-0.0011,359.7,-0.00341965,-0.00386043,0.00711807
1,0.0441295,0.0205865,0.00102353,0.00227313,0.0124036,472,0.0021,-0.0011,359.7,-0.00341965,-0.00386043,0.00791668
1,0.0496022,0.0233856,0.0022186,0.00264491,0.0133846,472,0.0021,-0.0011,359.7,-0.00212114,-0.00327803,0.00875235
1,0.0508386,0.0266734,0.0022186,0.00309798,0.0144508,472,0.003,-0.0011,359.7,-0.00212114,-0.00327803,0.009679
