行驶状态,编码器速度,惯性导航解算速度,slam位移,惯性导航解算位移
0,0.000202044,0,0,1.33412e-07
0,0.00019446,0,0,8.69338e-08
0,5.85913e-05,0,0,3.55538e-08
0,0.000188754,0,0,-2.29052e-08
0,0.000204044,0,0,3.58194e-08
0,0.000177393,0,0,9.45441e-08
0,0,0,0,2.86632e-07
0,6.95254e-05,0,0,4.76472e-07
0,0.000260317,0,0,6.66312e-07
0,3.70378e-05,0,0,8.33163e-07
0,0.000250173,0,0,8.89911e-07
0,8.27788e-05,0,0,9.48636e-07
0,0.000293916,0,0,1.01545e-06
0,0.000171504,0,0,1.07683e-06
0,5.76765e-05,0,0,1.14442e-06
0,0.000207919,0,0,1.20383e-06
0,0.000198016,0,0,1.27142e-06
0,0.000246782,0,0.000633105,1.32817e-06
0,0.000127842,0,0.000633105,1.39274e-06
0,0,0,0.000633105,1.4573e-06
0,0.000263012,0,0.000633105,1.51405e-06
0,0.000225821,0,0.000882976,1.5708e-06
0,0.000123019,0,0.000882976,1.62755e-06
0,0.000127122,0,0.000882976,1.69514e-06
0,7.91824e-05,0,0.000882976,1.75455e-06
0,5.74922e-05,0,0.000989944,1.81395e-06
0,0.000234222,0,0.000989944,1.88154e-06
0,7.8232e-05,0,0.000989944,1.94913e-06
0,0.000198654,0,0.000989944,2.01672e-06
0,0.000231682,0,0.000904322,2.07613e-06
0,0,0,0.000904322,2.13288e-06
0,3.29632e-05,0,0.000904322,2.19744e-06
0,4.15112e-05,0,0.000330491,2.25419e-06
0,0.000216834,0,0.000330491,2.31876e-06
0,0.000220551,0,0.000330491,2.37551e-06
0,0,0,0.000361574,2.43226e-06
0,2.85968e-05,0,0.000361574,2.489e-06
0,0.000250737,0,0.000361574,2.55357e-06
0,0,0,0.000361574,2.72042e-06
0,0.000175718,0,0.000207025,2.88727e-06
0,0.000122345,0,0.000207025,3.05412e-06
0,4.4689e-05,0,0.000207025,3.24396e-06
0,0.000194833,0,0.000207025,3.30071e-06
0,0.000230194,0,0.000637628,3.36528e-06
0,0.000111055,0,0.000637628,3.53213e-06
0,0.00025106,0,0.000637628,3.70096e-06
0,0.000222988,0,0.000664554,3.86979e-06
0,0.000183653,0,0.000664554,4.03664e-06
0,0.0001403,0,0.000664554,4.20349e-06
0,3.62296e-05,0,0.000664554,4.3903e-06
0,0,0,0.000583036,4.5545e-06
